building_id,surface_uid,physical_facet_uid,component_size
DEBW522AA0000006d,S0359,DEBW522AA0000006d_PF007,1
DEBW522AA0000006d,S0361,DEBW522AA0000006d_PF008,1
DEBW522AA0000006d,S0362,DEBW522AA0000006d_PF009,1
DEBW522AA0000006d,S0363,DEBW522AA0000006d_PF010,1
DEBW522AA0000006d,S0364,DEBW522AA0000006d_PF011,1
DEBW522AA0000006d,S0365,DEBW522AA0000006d_PF012,1
DEBW522AA0000006d,S0366,DEBW522AA0000006d_PF013,1
DEBW522AA0000006d,S0367,DEBW522AA0000006d_PF014,1
DEBW522AA0000006d,S0368,DEBW522AA0000006d_PF015,1
DEBW522AA0000006d,S0369,DEBW522AA0000006d_PF016,1
DEBW522AA0000006d,S0370,DEBW522AA0000006d_PF017,1
DEBW522AA0000006d,S0371,DEBW522AA0000006d_PF018,2
DEBW522AA0000006d,S0372,DEBW522AA0000006d_PF018,2
DEBW522AA0000006d,S0373,DEBW522AA0000006d_PF019,2
DEBW522AA0000006d,S0374,DEBW522AA0000006d_PF019,2
DEBW522AA0000006d,S0375,DEBW522AA0000006d_PF020,1
DEBW522AA0000006d,S0379,DEBW522AA0000006d_PF021,2
DEBW522AA0000006d,S0380,DEBW522AA0000006d_PF021,2
DEBW522AA0000006d,S0381,DEBW522AA0000006d_PF022,2
DEBW522AA0000006d,S0382,DEBW522AA0000006d_PF022,2
DEBW522AA0000006d,S0383,DEBW522AA0000006d_PF023,1
DEBW522AA0000006d,S0384,DEBW522AA0000006d_PF024,2
DEBW522AA0000006d,S0385,DEBW522AA0000006d_PF024,2
DEBW522AA0000006d,S0386,DEBW522AA0000006d_PF025,1
DEBW522AA0000006d,S0387,DEBW522AA0000006d_PF026,1
DEBW522AA0000006d,S0388,DEBW522AA0000006d_PF027,2
DEBW522AA0000006d,S0389,DEBW522AA0000006d_PF027,2
DEBW522AA0000006d,S0390,DEBW522AA0000006d_PF028,2
DEBW522AA0000006d,S0391,DEBW522AA0000006d_PF028,2
DEBW522AA0000006d,S0392,DEBW522AA0000006d_PF029,1
DEBW522AA00023026,S0393,DEBW522AA00023026_PF001,1
DEBW522AA000241ff,S0394,DEBW522AA000241ff_PF001,1
DEBW522AA000241ff,S0395,DEBW522AA000241ff_PF002,1
DEBW522AA000241ff,S0396,DEBW522AA000241ff_PF003,1
DEBW522AA000241ff,S0397,DEBW522AA000241ff_PF004,1
DEBW522AA000241ff,S0398,DEBW522AA000241ff_PF005,2
DEBW522AA000241ff,S0399,DEBW522AA000241ff_PF005,2
DEBW522AA00043753,S0400,DEBW522AA00043753_PF001,1
DEBW522AA00043753,S0401,DEBW522AA00043753_PF002,1
DEBW522AA00043753,S0402,DEBW522AA00043753_PF003,1
DEBW522AA00043753,S0403,DEBW522AA00043753_PF004,1
DEBW522AA00043753,S0404,DEBW522AA00043753_PF005,3
DEBW522AA00043753,S0413,DEBW522AA00043753_PF005,3
DEBW522AA00043753,S0418,DEBW522AA00043753_PF005,3
DEBW522AA00043753,S0405,DEBW522AA00043753_PF006,1
DEBW522AA00043753,S0406,DEBW522AA00043753_PF007,1
DEBW522AA00043753,S0407,DEBW522AA00043753_PF008,1
DEBW522AA00043753,S0408,DEBW522AA00043753_PF009,1
DEBW522AA00043753,S0409,DEBW522AA00043753_PF010,1
DEBW522AA00043753,S0410,DEBW522AA00043753_PF011,1
DEBW522AA00043753,S0411,DEBW522AA00043753_PF012,1
DEBW522AA00043753,S0412,DEBW522AA00043753_PF013,1
DEBW522AA00043753,S0414,DEBW522AA00043753_PF014,1
DEBW522AA00043753,S0415,DEBW522AA00043753_PF015,1
DEBW522AA00043753,S0416,DEBW522AA00043753_PF016,1
DEBW522AA00043753,S0417,DEBW522AA00043753_PF017,1
DEBW522AA00043753,S0419,DEBW522AA00043753_PF018,1
DEBW522AA00043753,S0420,DEBW522AA00043753_PF019,1
DEBW522AA00027308,S0421,DEBW522AA00027308_PF001,5
